Bread  Filling  Butter  Ant_count  Order
    1        1       1         22     27
    1        1      -1         18     10
    1        2       1         27     45
    1        2      -1         43     26
    1        3       1         68      3
    1        3      -1         44     39
    2        1       1         57     17
    2        1      -1         29     25
    2        2       1         42     48
    2        2      -1         59     35
    2        3       1         58      6
    2        3      -1         34      1
    3        1       1         26     15
    3        1      -1         42     44
    3        2       1         60     24
    3        2      -1         22     36
    3        3       1         63      4
    3        3      -1         36     32
    4        1       1          2     42
    4        1      -1         42     33
    4        2       1         57     11
    4        2      -1         24     34
    4        3       1         66     37
    4        3      -1         48     13
    1        1       1         45     30
    1        1      -1         31     14
    1        2       1         50     29
    1        2      -1         36     31
    1        3       1         65      9
    1        3      -1         54     20
    2        1       1         42     40
    2        1      -1         21     19
    2        2       1         36     28
    2        2      -1         47     38
    2        3       1         97     43
    2        3      -1         65      5
    3        1       1         28     18
    3        1      -1         38     21
    3        2       1         47      2
    3        2      -1         19     22
    3        3       1         76     12
    3        3      -1         59      8
    4        1       1         40     46
    4        1      -1         25     41
    4        2       1         51      7
    4        2      -1         21     16
    4        3       1         59     47
    4        3      -1         53     23
