log.dose10 ucciso
"1" 1.6907 0
"2" 1.6907 0
"3" 1.6907 0
"4" 1.6907 0
"5" 1.6907 0
"6" 1.6907 0
"7" 1.6907 0
"8" 1.6907 0
"9" 1.6907 0
"10" 1.6907 0
"11" 1.6907 0
"12" 1.6907 0
"13" 1.6907 0
"14" 1.6907 0
"15" 1.6907 0
"16" 1.6907 0
"17" 1.6907 0
"18" 1.6907 0
"19" 1.6907 0
"20" 1.6907 0
"21" 1.6907 0
"22" 1.6907 0
"23" 1.6907 0
"24" 1.6907 0
"25" 1.6907 0
"26" 1.6907 0
"27" 1.6907 0
"28" 1.6907 0
"29" 1.6907 0
"30" 1.6907 0
"31" 1.6907 0
"32" 1.6907 0
"33" 1.6907 0
"34" 1.6907 0
"35" 1.6907 0
"36" 1.6907 0
"37" 1.6907 0
"38" 1.6907 0
"39" 1.6907 0
"40" 1.6907 0
"41" 1.6907 0
"42" 1.6907 0
"43" 1.6907 0
"44" 1.6907 0
"45" 1.6907 0
"46" 1.6907 0
"47" 1.6907 0
"48" 1.6907 0
"49" 1.6907 0
"50" 1.6907 0
"51" 1.6907 0
"52" 1.6907 0
"53" 1.6907 0
"54" 1.6907 1
"55" 1.6907 1
"56" 1.6907 1
"57" 1.6907 1
"58" 1.6907 1
"59" 1.6907 1
"60" 1.7242 0
"61" 1.7242 0
"62" 1.7242 0
"63" 1.7242 0
"64" 1.7242 0
"65" 1.7242 0
"66" 1.7242 0
"67" 1.7242 0
"68" 1.7242 0
"69" 1.7242 0
"70" 1.7242 0
"71" 1.7242 0
"72" 1.7242 0
"73" 1.7242 0
"74" 1.7242 0
"75" 1.7242 0
"76" 1.7242 0
"77" 1.7242 0
"78" 1.7242 0
"79" 1.7242 0
"80" 1.7242 0
"81" 1.7242 0
"82" 1.7242 0
"83" 1.7242 0
"84" 1.7242 0
"85" 1.7242 0
"86" 1.7242 0
"87" 1.7242 0
"88" 1.7242 0
"89" 1.7242 0
"90" 1.7242 0
"91" 1.7242 0
"92" 1.7242 0
"93" 1.7242 0
"94" 1.7242 0
"95" 1.7242 0
"96" 1.7242 0
"97" 1.7242 0
"98" 1.7242 0
"99" 1.7242 0
"100" 1.7242 0
"101" 1.7242 0
"102" 1.7242 0
"103" 1.7242 0
"104" 1.7242 0
"105" 1.7242 0
"106" 1.7242 0
"107" 1.7242 1
"108" 1.7242 1
"109" 1.7242 1
"110" 1.7242 1
"111" 1.7242 1
"112" 1.7242 1
"113" 1.7242 1
"114" 1.7242 1
"115" 1.7242 1
"116" 1.7242 1
"117" 1.7242 1
"118" 1.7242 1
"119" 1.7242 1
"120" 1.7552 0
"121" 1.7552 0
"122" 1.7552 0
