dog	condition	 y	x
1	1	81.7	54.3
1	2	84.3	62
1	3	72.8	62.3
1	4	71.7	47.3
1	5	76.7	53.6
1	6	75.8	38
1	7	77.3	54.2
1	8	86.3	54
2	1	105	81.5
2	2	113.6	80.8
2	3	108.7	74.5
2	4	83.9	71.9
2	5	89	79.5
2	6	86.1	73
2	7	88.7	74.7
2	8	117.6	88.6
3	1	95.5	65
3	2	95.7	68.3
3	3	84	67.9
3	4	85.8	61
3	5	98.8	66
3	6	106.2	81.8
3	7	106.4	71.4
3	8	115	96
4	1	113.1	87.5
4	2	116.5	93.6
4	3	100.8	70.4
4	4	101.5	66.1
4	5	120.8	101.4
4	6	95	57
4	7	91.9	82.5
4	8	94	80.9
5	1	99.5	79.4
5	2	99.2	82.5
5	3	106.1	87.9
5	4	85.2	66.4
5	5	106.3	68.4
5	6	84.6	59.5
5	7	92.1	58.5
5	8	101.2	69.2
