"y" "subject" "item"
"1" 1 "1" "1"
"2" 1 "2" "1"
"3" 1 "3" "1"
"4" 1 "4" "1"
"5" 1 "5" "1"
"6" 1 "6" "1"
"7" 0 "7" "1"
"8" 1 "8" "1"
"9" 1 "9" "1"
"10" 1 "10" "1"
"11" 1 "11" "1"
"12" 1 "12" "1"
"13" 1 "13" "1"
"14" 1 "14" "1"
"15" 0 "15" "1"
"16" 1 "16" "1"
"17" 1 "17" "1"
"18" 1 "18" "1"
"19" 1 "19" "1"
"20" 1 "20" "1"
"21" 1 "21" "1"
"22" 1 "22" "1"
"23" 1 "23" "1"
"24" 1 "24" "1"
"25" 1 "25" "1"
"26" 1 "26" "1"
"27" 1 "27" "1"
"28" 1 "28" "1"
"29" 0 "29" "1"
"30" 1 "30" "1"
"31" 1 "31" "1"
"32" 0 "32" "1"
"33" 1 "33" "1"
"34" 1 "34" "1"
"35" 0 "35" "1"
"36" 1 "36" "1"
"37" 0 "37" "1"
"38" 1 "38" "1"
"39" 1 "39" "1"
"40" 1 "40" "1"
"41" 1 "41" "1"
"42" 1 "42" "1"
"43" 0 "43" "1"
"44" 0 "44" "1"
"45" 0 "45" "1"
"46" 0 "46" "1"
"47" 1 "47" "1"
"48" 1 "48" "1"
"49" 1 "49" "1"
"50" 1 "50" "1"
"51" 1 "51" "1"
"52" 1 "52" "1"
"53" 1 "53" "1"
"54" 1 "54" "1"
"55" 0 "55" "1"
"56" 0 "56" "1"
"57" 1 "57" "1"
"58" 1 "58" "1"
"59" 1 "59" "1"
"60" 0 "60" "1"
"61" 0 "61" "1"
"62" 1 "62" "1"
"63" 1 "63" "1"
"64" 0 "1" "2"
"65" 0 "2" "2"
"66" 0 "3" "2"
"67" 1 "4" "2"
"68" 0 "5" "2"
"69" 1 "6" "2"
"70" 1 "7" "2"
"71" 1 "8" "2"
"72" 0 "9" "2"
"73" 0 "10" "2"
"74" 0 "11" "2"
"75" 1 "12" "2"
"76" 1 "13" "2"
"77" 1 "14" "2"
"78" 0 "15" "2"
"79" 1 "16" "2"
"80" 1 "17" "2"
"81" 0 "18" "2"
"82" 1 "19" "2"
"83" 0 "20" "2"
"84" 1 "21" "2"
"85" 0 "22" "2"
"86" 0 "23" "2"
